Huckleberry,Santa Monica,"No Reservations
Worth the Lines
Healthy
Sweet Treat
Bakery",$$,"Brunch
Lunch",,,American
The Albright,,,,,,,
Bay Cities,Santa Monica,Godmother,,,,,Italian Sandwiches
Shaka Shack Burgers,,,,,,,
Cha Cha Chicken,,,,,,,
Tacos Punta Cabras,,,,,,,
Dogtown Coffee,,,,,,,
Philz,,,,,,,
Sunny Blue,,,,,,,
Father's Office,Santa Monica,,,,,,
Sweetfin Poke,,,,,,,
Ashland Hill,,,,,,,
Wurstkuche,Santa Monica,,$,,,,
41 Ocean,Santa Monica,,,,,,
